model,epochs,num_folds,raw_MAE_mean,raw_MAE_std,raw_RMSE_mean,raw_RMSE_std,raw_Bias_mean,raw_Bias_std,raw_Corr_mean,raw_Corr_std,primary_MAE_mean,primary_MAE_std,primary_RMSE_mean,primary_RMSE_std,primary_Bias_mean,primary_Bias_std,primary_Corr_mean,primary_Corr_std,kalman_MAE_mean,kalman_MAE_std,kalman_RMSE_mean,kalman_RMSE_std,kalman_Bias_mean,kalman_Bias_std,kalman_Corr_mean,kalman_Corr_std
wl_linear_regression,1,18,0.2674247493132117,0.0923500591334802,0.36720504611059585,0.13478576490742875,0.052189202680132094,0.16432300431034502,0.2763173060575594,0.24630350139514173,0.2674247493132117,0.0923500591334802,0.36720504611059585,0.13478576490742875,0.052189202680132094,0.16432300431034502,0.2763173060575594,0.24630350139514173,0.22445090509660942,0.09797920954631727,0.30366786738327867,0.1380319044600699,0.052663343887640365,0.16449698632357884,0.34369207435595356,0.2886997760854784
wl_mlp,22,18,0.05174426980015063,0.028947750872513,0.06851123522947362,0.03852745303033334,0.005776444220161728,0.036777346893524916,0.5746579330887663,0.24100005202665095,0.05174426980015063,0.028947750872513,0.06851123522947362,0.03852745303033334,0.005776444220161728,0.036777346893524916,0.5746579330887663,0.24100005202665095,0.050162778645189914,0.028558120920952893,0.06468095842563863,0.036894456652433835,0.005866562105720896,0.036853751739623436,0.604654894524366,0.24685548534273294
wl_random_forest,1,18,0.015470951950832488,0.004375714286263094,0.022223570377614316,0.006251861906657006,-0.000900604160577821,0.00967552219939948,0.87100759335568,0.09894761166958878,0.015343413126115507,0.004488352735723253,0.02188384651853901,0.006408504804471656,-0.0008963983700155379,0.00977017254969969,0.8766244924522607,0.09379525819338717,0.015343441720116322,0.0044883629437971655,0.02188387345613773,0.006408538242728342,-0.000896398365250788,0.00977017609626392,0.8766244342089514,0.09379477026233564
wl_hgrn,36,18,0.027888974827961804,0.01259061410668689,0.03541447350307765,0.013607091544449241,-0.0007399762850506203,0.020453687976411943,0.7492093531065301,0.18163963424632795,0.027888974827961804,0.01259061410668689,0.03541447350307765,0.013607091544449241,-0.0007399762850506203,0.020453687976411943,0.7492093531065301,0.18163963424632795,0.02787395815090388,0.012729268219636363,0.035599767777626516,0.013783799333797824,-0.0007926458584960466,0.02049190567074044,0.7474044989366904,0.16614267202524077
