operation_id,date,count,wl_linear_regression_kalman_RMSE,wl_mlp_kalman_RMSE,wl_random_forest_kalman_RMSE,wl_hgrn_kalman_RMSE
1,2024-07-17,337,0.6207739529205367,0.189628125385769,0.02689619372956606,0.08079486727025582
2,2024-07-17,543,0.35923372181521235,0.050193338350345375,0.031470335726549344,0.0433769963107242
3,2024-07-18,630,0.1774746433857594,0.054825058149914785,0.030193967648271883,0.03737199859096454
4,2024-07-18,653,0.1660127171087215,0.06133231536932891,0.022595156209785756,0.025040268516856885
5,2024-07-18,123,0.2761062671550479,0.07782896169474231,0.02586259009331397,0.04437306829464835
6,2024-07-18,442,0.4253795319277979,0.058597490114790006,0.017746825528218588,0.028878818136868878
7,2024-07-18,642,0.18087657033942256,0.03908998637105433,0.017140686450263266,0.024088305661963575
8,2024-07-18,460,0.24802505851655665,0.034359265648749464,0.03225393346187235,0.030329325169777363
9,2024-07-18,577,0.23655533416918575,0.039763372490080065,0.020887234926617787,0.03387007402373423
10,2024-07-18,438,0.3539496190249331,0.0627198727554915,0.028571907264528528,0.030892043636787977
11,2024-07-18,323,0.3201150972717388,0.04911535075714349,0.021945614775226985,0.035885066190438485
12,2024-07-18,349,0.6140384404747103,0.0970917246726004,0.023360999276056383,0.038033101223311695
13,2024-07-18,305,0.11608798497003185,0.039665330553613515,0.011042502080653029,0.02897103297908732
14,2024-07-19,310,0.3157409978850059,0.092553618235725,0.014078655782660493,0.034376070652335014
15,2024-07-19,487,0.22975813754118504,0.060818555162452416,0.01395061079592057,0.023556565231934355
16,2024-07-19,382,0.22856508778681345,0.04882311367441664,0.02273522623829172,0.04041676179681922
17,2024-07-19,602,0.3261882267217867,0.08228359490089068,0.017707715982019197,0.04490099866356083
18,2024-07-19,397,0.27114022388457043,0.025568177374387394,0.015469566240663238,0.01564045764720855
