operation_id,num_frames,mean_gap_sec,median_gap_sec,min_gap_sec,max_gap_sec,fraction_1p95_to_2p05,maximum_abs_rate_m_per_s
1,337,1.9999999609731494,2.0000030994415283,1.9996979236602783,2.0002009868621826,1.0,0.10249584572463678
2,543,1.9999999296181317,1.9999995231628418,1.9997618198394775,2.0002307891845703,1.0,0.10849740028650057
3,630,1.9999999492081246,2.0,1.9997870922088623,2.0002288818359375,1.0,0.1075047289425112
4,653,2.0000000844703862,1.9999995231628418,1.9997789859771729,2.000182867050171,1.0,0.06649734442110287
5,123,2.0000000586275193,1.9999995231628418,1.999758005142212,2.000211000442505,1.0,0.14099309204091684
6,442,1.9999999275553524,1.9999959468841553,1.9997799396514893,2.0001749992370605,1.0,0.04500213513967812
7,642,2.000000090755278,2.0000009536743164,1.9997310638427734,2.0002119541168213,1.0,0.04200289412412714
8,460,1.9999999870142386,2.000005006790161,1.9997870922088623,2.000195026397705,1.0,0.0489975292736431
9,577,2.1427081736425557,2.1998385190963745,1.9998829364776611,3.0000460147857666,0.4965277777777778,0.07954462526137711
10,438,1.9999998761532782,2.0000040531158447,1.999783992767334,2.0002281665802,1.0,0.0729991210804904
11,323,2.000000049608835,1.9999995231628418,1.9997198581695557,2.0002779960632324,1.0,0.07749627697472336
12,349,2.0000000315150994,1.9999990463256836,1.999751091003418,2.0002129077911377,1.0,0.07300204509265358
13,305,1.9999999278470089,2.0,1.999809980392456,2.000149965286255,1.0,0.042500871437774555
14,310,2.303559773176619,2.2000620365142822,1.999917984008789,3.2000041007995605,0.12944983818770225,0.016364008423302986
15,487,2.0000000765294206,2.000003457069397,1.999758005142212,2.000201940536499,1.0,0.02549890266610839
16,382,1.9999998216553936,2.0000009536743164,1.9998080730438232,2.0001800060272217,1.0,0.03749973625130155
17,602,1.999999843698968,2.000001907348633,1.9998009204864502,2.000195026397705,1.0,0.03699907376700738
18,397,2.000000004816537,2.000003457069397,1.9997661113739014,2.000174045562744,1.0,0.04500085832325591
