model,epochs,fold,operation_id,date,count,raw_MAE,raw_RMSE,raw_Bias,raw_Corr,primary_MAE,primary_RMSE,primary_Bias,primary_Corr,kalman_MAE,kalman_RMSE,kalman_Bias,kalman_Corr
wl_linear_regression,1,operation_01,1,2024-07-17,337,0.5000342869970849,0.6351329940416642,0.4565968598385593,0.6737173486240849,0.5000342869970849,0.6351329940416642,0.4565968598385593,0.6737173486240849,0.47922118403353725,0.6207739529205367,0.45891279304597676,0.706035025889048
wl_linear_regression,1,operation_02,2,2024-07-17,543,0.2645217994739118,0.3808273810330924,0.18742503250501433,0.25879034072657264,0.2645217994739118,0.3808273810330924,0.18742503250501433,0.25879034072657264,0.24516344959436231,0.35923372181521235,0.18686350445586322,0.28029014936062135
wl_linear_regression,1,operation_03,3,2024-07-18,630,0.1939450839209178,0.24820583042344446,-0.003063366905091301,0.16001535007172435,0.1939450839209178,0.24820583042344446,-0.003063366905091301,0.16001535007172435,0.13985198161428739,0.1774746433857594,-0.003406966052621199,0.25056777878809955
wl_linear_regression,1,operation_04,4,2024-07-18,653,0.1916364042536223,0.267181766126513,0.05422379704018282,0.161911262284616,0.1916364042536223,0.267181766126513,0.05422379704018282,0.161911262284616,0.13001698903607298,0.1660127171087215,0.05407865502352976,0.29569281068394226
wl_linear_regression,1,operation_05,5,2024-07-18,123,0.3027927080790202,0.4029289612832994,0.08133858393847458,0.44768240628760947,0.3027927080790202,0.4029289612832994,0.08133858393847458,0.44768240628760947,0.21032455625279708,0.2761062671550479,0.08244590233858091,0.6366837257999365
wl_linear_regression,1,operation_06,6,2024-07-18,442,0.3597135430547447,0.4983186022664804,-0.24798860107611748,0.007284026260303089,0.3597135430547447,0.4983186022664804,-0.24798860107611748,0.007284026260303089,0.2928636087064858,0.4253795319277979,-0.24680706026326743,0.0023232634340465607
wl_linear_regression,1,operation_07,7,2024-07-18,642,0.18331665859044155,0.234798808219713,-0.022010045630909573,0.07856660295382312,0.18331665859044155,0.234798808219713,-0.022010045630909573,0.07856660295382312,0.1476019437825128,0.18087657033942256,-0.021837219824623808,0.11447265742039897
wl_linear_regression,1,operation_08,8,2024-07-18,460,0.23772390562555065,0.2783220406275991,-0.05991073535836261,0.5952312325986496,0.23772390562555065,0.2783220406275991,-0.05991073535836261,0.5952312325986496,0.21675709231406848,0.24802505851655665,-0.059138219994577294,0.6885918792311281
wl_linear_regression,1,operation_09,9,2024-07-18,577,0.2016383923938824,0.2888284236442488,0.12735285544106204,0.1899478706709763,0.2016383923938824,0.2888284236442488,0.12735285544106204,0.1899478706709763,0.17644108237899522,0.23655533416918575,0.12695270403460385,0.28658133631054417
wl_linear_regression,1,operation_10,10,2024-07-18,438,0.20990277643073096,0.40527073744207764,0.0676741883090642,0.2115828590856833,0.20990277643073096,0.40527073744207764,0.0676741883090642,0.2115828590856833,0.1681688234584695,0.3539496190249331,0.06835149057407765,0.2256708499799862
wl_linear_regression,1,operation_11,11,2024-07-18,323,0.26708538761079864,0.3407884125308403,0.22135780248848647,0.06930294179313598,0.26708538761079864,0.3407884125308403,0.22135780248848647,0.06930294179313598,0.25834861152070376,0.3201150972717388,0.22256491065899076,0.08720456520295448
wl_linear_regression,1,operation_12,12,2024-07-18,349,0.4383149505686282,0.6825131514337122,0.22439604194936233,0.6350504131263887,0.4383149505686282,0.6825131514337122,0.22439604194936233,0.6350504131263887,0.4245654068445169,0.6140384404747103,0.22591511451718152,0.6932161186362127
wl_linear_regression,1,operation_13,13,2024-07-18,305,0.1170596646480873,0.15539275520927445,0.01631250928659908,0.21926229562925573,0.1170596646480873,0.15539275520927445,0.01631250928659908,0.21926229562925573,0.0836984102753729,0.11608798497003185,0.017309022977840947,0.3260965154148775
wl_linear_regression,1,operation_14,14,2024-07-19,310,0.3020885044528592,0.3938178726322634,0.024117310585514192,0.42015204986564914,0.3020885044528592,0.3938178726322634,0.024117310585514192,0.42015204986564914,0.2398393968797281,0.3157409978850059,0.021993725103334555,0.5090775801063583
wl_linear_regression,1,operation_15,15,2024-07-19,487,0.23274777508369462,0.2779124063700395,-0.1090132911102483,0.5199168811790066,0.23274777508369462,0.2779124063700395,-0.1090132911102483,0.5199168811790066,0.19202102664890805,0.22975813754118504,-0.10900212765895997,0.636958044296963
